imdb_id,runtime,budget,Animation,Action,Adventure,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Science Fiction,Romance,Thriller,Western,War,won_oscars,nominated_oscars,other_awards_won,other_awards_nominated,movie rating
tt0113101,98,4000000,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,229,324,7
tt0107286,110,21000000,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,47,109,7
tt0076759,121,11000000,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,102,94,9
tt0266543,100,94000000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,8,357,546,8
tt0109830,142,55000000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,136,269,9
tt0169547,122,15000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,248,419,8
tt0033467,119,839727,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,18,16,8
tt0168629,140,12800000,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,100,131,8
tt0411267,87,3000000,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,35,30,5
tt0119116,126,90000000,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,132,211,8
tt0017136,153,92620000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,8
tt0314412,106,2000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,125,241,8
tt0060371,95,50000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8
tt0325980,143,140000000,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,188,373,8
tt0266697,111,30000000,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,151,8
tt0418763,125,72000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,118,242,7
tt0352994,103,1400000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,7
tt0411705,66,1000000,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,5
tt0078788,153,31500000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,5,206,291,8
